backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
DNSLINK_IPFS,broker_discovery,30,0.031619,0.029154,0.009324,0.019880,0.074847
DNSLINK_IPFS,canonical_request_payload,30,0.000015,0.000014,0.000004,0.000009,0.000025
DNSLINK_IPFS,client_ephemeral_public_key,30,0.000005,0.000004,0.000005,0.000003,0.000030
DNSLINK_IPFS,client_request_sign,30,0.000288,0.000283,0.000063,0.000189,0.000438
DNSLINK_IPFS,client_session_init,30,0.000146,0.000145,0.000036,0.000092,0.000229
DNSLINK_IPFS,client_session_key_derivation,30,0.000018,0.000018,0.000003,0.000014,0.000028
DNSLINK_IPFS,client_shared_secret_derivation,30,0.000221,0.000217,0.000046,0.000158,0.000349
DNSLINK_IPFS,compute_transcript,30,0.000023,0.000022,0.000006,0.000016,0.000038
DNSLINK_IPFS,crypto_scenario_total,30,0.000033,0.000033,0.000005,0.000024,0.000046
DNSLINK_IPFS,dap_create_capability,30,0.000726,0.000643,0.000337,0.000430,0.002289
DNSLINK_IPFS,dap_encrypt_enc_cap,30,0.000737,0.000635,0.000322,0.000443,0.002012
DNSLINK_IPFS,dap_scenario_total,30,0.001464,0.001285,0.000581,0.000872,0.003653
DNSLINK_IPFS,decrypt_message,30,0.000008,0.000008,0.000002,0.000006,0.000013
DNSLINK_IPFS,discovery_scenario_total,30,0.031619,0.029154,0.009324,0.019880,0.074847
DNSLINK_IPFS,encrypt_message,30,0.000025,0.000025,0.000004,0.000019,0.000035
DNSLINK_IPFS,generate_identity_c1,30,0.000203,0.000182,0.000132,0.000168,0.000900
DNSLINK_IPFS,generate_identity_cp,30,0.002567,0.002271,0.001370,0.002135,0.009741
DNSLINK_IPFS,generate_identity_s1,30,0.000177,0.000179,0.000005,0.000167,0.000186
DNSLINK_IPFS,generate_identity_sp,30,0.000223,0.000189,0.000149,0.000171,0.000796
DNSLINK_IPFS,idap_authorize,30,0.053727,0.051992,0.009135,0.041356,0.085375
DNSLINK_IPFS,idap_replay_check,30,0.052958,0.052272,0.007545,0.036059,0.068309
DNSLINK_IPFS,idap_scenario_total,30,0.121573,0.119277,0.016817,0.093522,0.180717
DNSLINK_IPFS,initialize_store,30,0.000005,0.000004,0.000001,0.000004,0.000011
DNSLINK_IPFS,publish_identity_c1,30,0.487277,0.191753,0.416165,0.155180,1.044387
DNSLINK_IPFS,publish_identity_cp,30,0.449678,0.543716,0.275914,0.152671,0.786316
DNSLINK_IPFS,publish_identity_s1,30,0.257901,0.172537,0.258828,0.148056,1.036418
DNSLINK_IPFS,publish_identity_sp,30,0.461303,0.184306,0.409140,0.151391,1.049827
DNSLINK_IPFS,publish_provider_registry,30,0.170253,0.171474,0.009604,0.154567,0.188262
DNSLINK_IPFS,publish_scenario_total,30,1.999258,1.888538,0.386169,1.019589,2.537858
DNSLINK_IPFS,publish_service_metadata,30,0.172845,0.173088,0.008785,0.158867,0.188756
DNSLINK_IPFS,resolve_service_public_key,30,0.013867,0.012864,0.003476,0.009056,0.025750
DNSLINK_IPFS,startup_scenario_total,30,0.003176,0.002811,0.001395,0.002673,0.010291
DNSLINK_IPFS,tampered_request_sign,30,0.000271,0.000266,0.000057,0.000192,0.000435
DNSLINK_IPFS,tampering_check,30,0.050843,0.049791,0.007383,0.035709,0.065247
DNSLINK_IPFS,tampering_scenario_total,30,0.051114,0.050045,0.007410,0.035901,0.065578
DNSLINK_IPFS,total_flow,30,2.212117,2.100486,0.394617,1.246424,2.775958
DNSLINK_IPFS,transcript_verify,30,0.000304,0.000296,0.000062,0.000224,0.000468
KNOT_DNS,broker_discovery,31,0.046475,0.048068,0.006361,0.029022,0.054659
KNOT_DNS,canonical_request_payload,31,0.000049,0.000052,0.000017,0.000015,0.000088
KNOT_DNS,client_ephemeral_public_key,31,0.000017,0.000013,0.000012,0.000004,0.000061
KNOT_DNS,client_request_sign,31,0.000676,0.000692,0.000133,0.000293,0.000978
KNOT_DNS,client_session_init,31,0.000364,0.000355,0.000090,0.000146,0.000696
KNOT_DNS,client_session_key_derivation,31,0.000048,0.000043,0.000023,0.000022,0.000147
KNOT_DNS,client_shared_secret_derivation,31,0.000425,0.000406,0.000111,0.000336,0.000966
KNOT_DNS,compute_transcript,31,0.000065,0.000067,0.000013,0.000028,0.000091
KNOT_DNS,crypto_scenario_total,31,0.000095,0.000089,0.000051,0.000036,0.000242
KNOT_DNS,dap_create_capability,31,0.002076,0.001786,0.001016,0.001120,0.007021
KNOT_DNS,dap_encrypt_enc_cap,31,0.001918,0.001757,0.000828,0.000749,0.005442
KNOT_DNS,dap_scenario_total,31,0.003994,0.003777,0.001202,0.002459,0.007770
KNOT_DNS,decrypt_message,31,0.000029,0.000022,0.000032,0.000011,0.000183
KNOT_DNS,discovery_scenario_total,31,0.046475,0.048068,0.006361,0.029022,0.054659
KNOT_DNS,encrypt_message,31,0.000065,0.000063,0.000034,0.000025,0.000195
KNOT_DNS,generate_identity_c1,31,0.000178,0.000182,0.000007,0.000168,0.000186
KNOT_DNS,generate_identity_cp,31,0.002709,0.002090,0.002341,0.001994,0.011957
KNOT_DNS,generate_identity_s1,31,0.000177,0.000180,0.000005,0.000167,0.000184
KNOT_DNS,generate_identity_sp,31,0.000182,0.000177,0.000009,0.000170,0.000195
KNOT_DNS,idap_authorize,31,0.065110,0.065457,0.009736,0.042772,0.078955
KNOT_DNS,idap_replay_check,31,0.056394,0.057122,0.006633,0.038676,0.066840
KNOT_DNS,idap_scenario_total,31,0.138223,0.139648,0.015795,0.092015,0.164482
KNOT_DNS,initialize_store,31,0.000003,0.000003,0.000000,0.000003,0.000004
KNOT_DNS,publish_identity_c1,31,0.284937,0.178911,0.285775,0.136493,1.040765
KNOT_DNS,publish_identity_cp,31,0.336422,0.145961,0.241785,0.126617,0.660982
KNOT_DNS,publish_identity_s1,31,0.370681,0.187034,0.355453,0.149169,1.043177
KNOT_DNS,publish_identity_sp,31,0.274323,0.167809,0.298057,0.134100,1.047212
KNOT_DNS,publish_provider_registry,31,0.626137,0.365231,0.393773,0.323171,1.204344
KNOT_DNS,publish_scenario_total,31,2.438340,2.276426,0.436356,1.312756,3.100593
KNOT_DNS,publish_service_metadata,31,0.545840,0.363617,0.353315,0.329459,1.207525
KNOT_DNS,resolve_service_public_key,31,0.014366,0.014281,0.002033,0.008922,0.018811
KNOT_DNS,startup_scenario_total,31,0.003249,0.002637,0.002346,0.002517,0.012514
KNOT_DNS,tampered_request_sign,31,0.000638,0.000614,0.000116,0.000431,0.000951
KNOT_DNS,tampering_check,31,0.058260,0.058748,0.006441,0.036969,0.070653
KNOT_DNS,tampering_scenario_total,31,0.058898,0.059376,0.006490,0.037400,0.071388
KNOT_DNS,total_flow,31,2.703053,2.538561,0.450103,1.501981,3.374584
KNOT_DNS,transcript_verify,31,0.000709,0.000676,0.000172,0.000463,0.001413
